Ind	Poids	Pression	Hues	Huefond	Lchair	ethylene	IR	AT	Glucose	Fructose	Malique
GoMo-A023	0.0549291593513023	64.79125	64.1127378452968	76.3663988410184	247643.809408899	1.86233322539088	16.6747597963918	16.6747597963918	1.38576861554966	0.807980336500003	8.79805488145988
GoMo-A024	0.0631391593513021	71.3125000000002	60.3599031335862	72.1017440916587	205536.776357758	2.23128896016302	14.9747597963917	14.9747597963917	1.2549294064314	0.726954122999998	7.84311646745998
GoMo-A025	0.0596004093513029	77.0386249999996	53.666888233448	69.0792917984304	249388.288440382	1.5499718031907	15.9747597963917	15.9747597963917	1.17484495954428	0.709570609500002	9.56514176796
GoMo-A026	0.0557166593513024	41.2913749999999	57.5788236013924	73.6948069228754	147424.132333462	3.60873395742272	12.9247597963917	12.9247597963917	1.05198234911947	0.477306164999996	6.59957723995994
GoMo-A027	0.0601291593513023	55.76375	63.8549516445725	67.2395258131584	235524.977045312	2.08893520576825	15.2747597963917	15.2747597963917	1.30577943653234	1.323422133	7.13352789895997
GoMo-A028	0.0615004093513026	61.8688749999997	67.0889850075635	82.7116790823304	224120.776960188	3.58049288190048	13.9747597963917	13.9747597963917	1.2058377861241	0.724704417500001	6.04356860145993
GoMo-A029	0.0611154093513025	50.0094999999999	59.5704029633976	66.1122381605606	235934.108152101	2.00051311272857	16.8747597963917	16.8747597963917	1.31952204012131	1.1570383655	9.96592216395995
GoMo-A030	0.0524702357401916	69.4899999999999	64.1835359567409	80.0700753444918	217759.757416015	1.57565282012094	13.5562724014337	13.5562724014337	1.36444205739929	0.580270792999995	9.85446381584231
GoMo-A031	0.0563366593513026	66.4073749999999	66.7523777988346	76.1426165469657	221205.099134523	2.15490261217641	15.6247597963917	15.6247597963917	1.27721182328653	1.008644937	9.26745649645994
GoMo-A032	0.0669041593513023	57.45875	45.5047816762673	69.8091420806613	221980.82346618	1.51939881724052	10.9247597963917	10.9247597963917	1.27271055627438	0.989107093000002	7.13314402695993
GoMo-A033	0.0628266593513019	63.0180000000002	67.9997517769736	77.295281566028	213272.795114876	3.13276656097408	13.1747597963917	13.1747597963917	1.19208549188644	0.799421157499999	6.15819369895996
GoMo-A034	0.0825154093513023	69.0515	60.2505648219662	74.8700133796993	166352.515647046	3.62379110205118	11.9247597963917	11.9247597963917	1.19919802779889	0.620044397500003	5.88467507046001
GoMo-A035	0.0713591593513023	70.6666249999999	55.5718973188641	72.1210821954977	222595.905388133	3.65013750410822	16.8562724014337	16.8562724014337	0.853734721093144	0.291545189999996	8.44887916684227
GoMo-A037	0.0704054093513023	58.6137499999999	57.0024236708429	83.9552046340517	248087.941872478	3.13913029830619	12.0747597963917	12.0747597963917	1.3882485268734	0.602869769999998	5.77015163195989
GoMo-A038	0.0673791593513024	48.2475	61.7107993929201	87.3678969903339	249171.821608836	2.26062831806537	15.6247597963917	15.6247597963917	1.28585529116745	1.0530882355	14.67638470546
GoMo-A039	0.0791904093513029	69.8369999999998	61.7536897695536	65.1588883552728	201528.290428225	2.17709544764054	14.3247597963917	14.3247597963917	1.33180726944077	1.144936721	9.16117296146
GoMo-A041	0.0646666593513027	77.2074999999998	58.1391849434963	68.8279655337765	224539.62079521	2.141250972666	15.7747597963917	15.7747597963917	1.2442950008377	0.653256826999999	5.8121820929599
GoMo-A042	0.051936659351302	56.9779999999999	62.7377166473292	87.8937507120754	308552.982549752	3.06475018213217	13.9247597963917	13.9247597963917	1.50745579996095	0.774110308999999	6.39268519846002
GoMo-A043	0.0524416593513027	58.6975	65.4439612913625	68.2662198698279	234489.202076187	1.83216594498361	12.0247597963917	12.0247597963917	1.19372561938922	0.549768473000001	6.16301624995996
GoMo-A044	0.0725416593513022	56.0087500000001	52.4968600177331	75.5121766698919	213673.693683734	3.03830205305152	13.0747597963917	13.0747597963917	1.16364173463234	0.485571639	5.40456147545996
GoMo-A045	0.0468666593513021	60.86125	65.0894618332285	75.2876893577264	248875.156120776	3.14596016137975	13.1747597963917	13.1747597963917	1.17980211943301	0.6620854325	6.02026575895994
GoMo-A046	0.0761952357401911	51.2324999999998	49.9328338332938	71.9583816651017	194784.193753172	1.50263116071989			NA		
GoMo-A047	0.0650877357401914	56.7662499999998	51.998707229294	71.0639986248021	215838.040496625	1.74549516384798			NA		
GoMo-A048	0.0457291593513025	78.7137499999998	56.8625976675509	80.3891782402719	176386.006612062	3.19722303228552	13.0562724014337	13.0562724014337	1.0681165741622	0.620039682999999	6.24295059784227
GoMo-A049	0.048917909351302	65.6387500000002	63.0375043063865	57.7404291723615	93246.2285033739	2.43731917593634	12.9247597963917	12.9247597963917	0.735078478102305	0.2587200915	9.17817795195992
GoMo-A051	0.0507629093513027	48.86125	60.9424509277102	81.2901560940846	244272.605731172	3.59559481668497	12.4247597963917	12.4247597963917	1.35672108398864	0.622011716	5.09000839495996
GoMo-A052	0.0532291593513022	75.8475000000001	63.0689054535983	87.542684747875	250093.066274782	3.15961085870365	12.2247597963917	12.2247597963917	1.25780088639336	0.6604136235	6.07118902395991
GoMo-A053	0.0589066593513028	89.9999999999996	56.9755050009453	71.0565378777498	265949.427313882	3.02140348151129	14.5747597963917	14.5747597963917	1.34842988528965	0.6480609235	5.70127312245993
GoMo-A054	0.0684891593513029	76.6693749999993	59.0751903984651	73.554537651713	229785.228968749	3.04320430982884	14.6247597963917	14.6247597963917	1.26707849675608	0.688634519499998	6.32573044145998
GoMo-A055	0.0767041593513025	65.0408749999999	64.7255417364524	78.5081290501157	197449.2720625	2.51199568290412	13.0747597963917	13.0747597963917	1.20032013509936	0.860649491499999	5.88186470496
GoMo-A056	0.0405504093513031	66.7262499999997	77.0128377024383	89.3794171093694	237505.452074639	3.31177280969643	13.4747597963917	13.4747597963917	1.16374729570601	0.758910720999998	7.0347200834599
GoMo-A057	0.0785291593513026	61.7912500000001	46.1646909757839	77.1847801604016	235227.159312672	1.73153964800391	15.9747597963917	15.9747597963917	1.41434730562652	1.040976384	12.04510700046
GoMo-A058	0.0653316593513019	54.9471250000001	58.0730852114974	84.2238789079293	170929.636182978	2.71556672650789	13.3747597963917	13.3747597963917	1.3243453258588	0.786259541999998	6.00935613495999
GoMo-A059	0.0544079093513021	59.2887499999999	51.8231488767035	80.2169583131876	254078.922083492	2.5020743752852	14.6562724014336	14.6562724014336	1.22035151206527	0.659179687999999	13.7343255668422
GoMo-A060	0.0675916593513016	61.2187499999998	67.1106487707634	80.7345386996916	246567.067963383	1.98193623196714	13.8247597963917	13.8247597963917	1.31580100684444	0.792888014000001	9.79919264445998
GoMo-A061	0.0586666593513025	61.8312499999995	59.5249460650731	73.280143592166	194892.384381953	3.88725513653324	10.8247597963917	10.8247597963917	1.09077841373304	0.441585960499997	4.8735535229599
